338.71,75.27,-2.00,-8.00
364.92,75.31,-1.00,-8.00
161.16,60.72,-9.00,-9.00
186.21,60.25,-8.00,-9.00
564.27,145.91,6.00,-4.00
591.26,146.22,7.00,-4.00
532.03,127.41,5.00,-5.00
558.82,128.10,6.00,-5.00
313.18,59.97,-3.00,-9.00
338.34,60.14,-2.00,-9.00
57.55,77.09,-13.00,-8.00
33.06,77.41,-14.00,-8.00
136.58,61.03,-10.00,-9.00
111.78,61.65,-11.00,-9.00
87.48,62.03,-12.00,-9.00
63.14,62.31,-13.00,-9.00
390.89,75.68,0.00,-8.00
416.85,75.99,1.00,-8.00
39.06,62.74,-14.00,-9.00
364.18,60.08,-1.00,-9.00
389.59,60.10,0.00,-9.00
501.14,109.94,4.00,-6.00
471.33,92.87,3.00,-7.00
497.37,93.28,4.00,-7.00
287.39,59.96,-4.00,-9.00
262.00,59.88,-5.00,-9.00
527.46,110.54,5.00,-6.00
164.68,46.52,-9.00,-10.00
140.55,46.94,-10.00,-10.00
116.12,47.37,-11.00,-10.00
313.33,45.43,-3.00,-10.00
288.32,45.49,-4.00,-10.00
189.18,46.17,-8.00,-10.00
213.65,45.87,-7.00,-10.00
442.34,76.42,2.00,-8.00
468.18,77.06,3.00,-8.00
238.52,45.74,-6.00,-10.00
263.52,45.49,-5.00,-10.00
338.23,45.41,-2.00,-10.00
363.43,45.50,-1.00,-10.00
414.93,60.16,1.00,-9.00
440.15,60.63,2.00,-9.00
585.41,128.81,7.00,-5.00
611.90,129.12,8.00,-5.00
553.65,111.06,6.00,-6.00
579.67,111.75,7.00,-6.00
168.02,32.86,-9.00,-11.00
192.08,32.42,-8.00,-11.00
523.17,93.90,5.00,-7.00
548.93,94.62,6.00,-7.00
144.26,33.30,-10.00,-11.00
171.23,19.91,-9.00,-12.00
147.95,20.34,-10.00,-12.00
388.24,45.35,0.00,-10.00
413.18,45.61,1.00,-10.00
120.49,33.79,-11.00,-11.00
605.74,112.29,8.00,-6.00
574.28,95.11,7.00,-7.00
599.92,95.75,8.00,-7.00
124.68,20.87,-11.00,-12.00
465.34,61.19,3.00,-9.00
493.64,77.50,4.00,-8.00
490.44,61.91,4.00,-9.00
437.77,45.86,2.00,-10.00
462.64,46.25,3.00,-10.00
313.68,31.95,-3.00,-11.00
338.08,31.91,-2.00,-11.00
194.77,19.50,-8.00,-12.00
518.97,78.18,5.00,-8.00
240.49,32.13,-6.00,-11.00
216.15,32.29,-7.00,-11.00
264.73,32.05,-5.00,-11.00
266.08,19.07,-5.00,-12.00
242.19,19.07,-6.00,-12.00
289.08,31.95,-4.00,-11.00
544.17,78.75,6.00,-8.00
569.22,79.35,7.00,-8.00
289.97,18.93,-4.00,-12.00
313.90,18.84,-3.00,-12.00
218.27,19.26,-7.00,-12.00
362.72,31.96,-1.00,-11.00
386.82,32.01,0.00,-11.00
515.09,62.50,5.00,-9.00
539.83,63.45,6.00,-9.00
511.36,47.42,5.00,-10.00
487.11,46.80,4.00,-10.00
435.51,32.26,2.00,-11.00
411.35,32.10,1.00,-11.00
594.36,79.98,8.00,-8.00
361.85,19.31,-1.00,-12.00
337.70,18.92,-2.00,-12.00
564.29,64.09,7.00,-9.00
535.62,48.20,6.00,-10.00
559.50,48.99,7.00,-10.00
588.77,64.65,8.00,-9.00
385.75,19.67,0.00,-12.00
507.72,33.28,5.00,-11.00
531.46,33.81,6.00,-11.00
459.76,32.59,3.00,-11.00
483.80,32.91,4.00,-11.00
456.97,20.38,3.00,-12.00
433.20,20.34,2.00,-12.00
583.78,49.99,8.00,-10.00
607.43,50.59,9.00,-10.00
409.57,20.03,1.00,-12.00
555.10,34.76,7.00,-11.00
578.63,35.66,8.00,-11.00
480.59,20.48,4.00,-12.00
503.95,20.51,5.00,-12.00
550.54,21.31,7.00,-12.00
527.44,20.81,6.00,-12.00
601.83,36.64,9.00,-11.00
573.68,22.04,8.00,-12.00
596.52,22.99,9.00,-12.00
